Date,Time,Sail Number,Speed (kts),Wind Speed,Ratio
1999-10-02,14:34:31,18,15.999,12.00,1.333
1999-10-02,14:35:21,47,27.586,20.00,1.379
1999-10-02,14:37:22,150,24.881,15.00,1.659
1999-10-02,14:38:55,124,25.712,10.00,2.571
1999-10-02,14:40:24,47,29.059,14.00,2.076
1999-10-02,14:41:33,15,19.424,18.00,1.079
1999-10-02,14:43:52,18,20.454,13.00,1.573
1999-10-02,14:44:10,150,25.783,18.00,1.432
1999-10-02,14:51:51,9,14.228,17.00,0.837
1999-10-02,14:52:35,47,29.760,17.00,1.751
1999-10-02,14:53:19,2,17.480,15.00,1.165
1999-10-02,14:53:46,181,23.314,17.00,1.371
1999-10-02,14:53:56,27,23.580,18.00,1.310
1999-10-02,14:56:39,124,26.632,19.00,1.402
1999-10-02,14:58:03,47,30.495,23.00,1.326
1999-10-02,14:59:14,9,26.182,18.00,1.455
1999-10-02,15:01:46,27,19.946,21.00,0.950
1999-10-02,15:19:35,15,20.705,23.00,0.900
1999-10-02,15:22:23,9,20.120,16.00,1.258
1999-10-02,15:24:34,15,20.274,21.00,0.965
1999-10-02,15:46:18,17,31.519,20.00,1.576
1999-10-02,15:48:05,171,23.826,18.00,1.324
1999-10-02,15:51:57,15,18.939,14.00,1.353
1999-10-02,15:52:08,17,29.189,27.00,1.081
1999-10-02,15:53:14,150,19.917,24.00,0.830
1999-10-02,15:57:49,150,23.628,21.00,1.125
1999-10-02,15:58:15,17,26.883,23.00,1.169
1999-10-02,15:59:01,47,26.883,17.00,1.581
1999-10-02,16:01:15,150,26.056,16.00,1.628
1999-10-02,16:02:51,17,28.360,19.00,1.493
1999-10-02,16:03:55,171,25.858,18.00,1.437
1999-10-02,16:04:56,150,26.300,16.00,1.644
1999-10-02,16:07:10,124,25.661,15.00,1.711
1999-10-02,16:10:52,47,19.505,25.00,0.780
1999-10-02,16:11:05,150,26.463,16.00,1.654
1999-10-02,16:15:31,150,26.381,18.00,1.466
1999-10-02,16:20:22,150,25.356,19.00,1.335
1999-10-02,16:25:17,150,27.136,23.00,1.180
1999-10-02,16:29:48,9,25.394,21.00,1.209
1999-10-02,16:33:57,181,23.082,20.00,1.154
1999-10-02,16:34:28,9,24.098,20.00,1.205
1999-10-02,15:29:20,15,20.705,24.00,0.863
1999-10-02,15:32:08,9,20.120,28.00,0.719
1999-10-02,15:56:04,17,31.519,19.00,1.659
1999-10-02,15:57:50,171,23.828,18.00,1.324
1999-10-02,16:01:42,15,18.962,22.00,0.862
1999-10-02,16:01:54,17,29.242,27.00,1.083
1999-10-02,16:02:59,150,19.917,20.00,0.996
1999-10-02,16:07:34,150,23.628,24.00,0.984
1999-10-02,16:08:00,17,26.880,18.00,1.493
1999-10-02,16:08:46,47,26.880,19.00,1.415
1999-10-02,16:11:00,150,26.059,23.00,1.133
1999-10-02,16:12:37,17,28.360,20.00,1.418
1999-10-02,16:13:40,171,25.858,23.00,1.124
1999-10-02,16:14:41,150,26.300,21.00,1.252
1999-10-02,16:16:56,124,25.664,24.00,1.069
1999-10-02,16:20:37,47,19.527,24.00,0.814
1999-10-02,16:20:50,150,26.422,23.00,1.149
1999-10-02,16:25:16,150,26.337,25.00,1.053
1999-10-02,16:30:08,150,25.356,26.00,0.975
1999-10-02,16:35:02,150,27.139,27.00,1.005
1999-10-02,16:38:42,181,5.911,17.00,0.348
1999-10-02,16:39:33,9,25.396,22.00,1.154
1999-10-02,16:39:40,150,9.443,21.00,0.450
1999-10-02,16:43:42,181,23.082,23.00,1.004
1999-10-02,16:44:13,9,24.098,29.00,0.831
1999-10-02,13:32:01,17,25.048,21.00,1.193
1999-10-02,13:36:50,17,26.673,
1999-10-02,13:37:35,181,27.064,
1999-10-02,13:45:00,9,23.640,10.00,2.364
1999-10-02,13:59:19,15,19.505,
1999-10-02,13:59:23,171,21.180,10.00,2.118
1999-10-02,14:02:55,9,24.845,14.00,1.775
1999-10-02,14:03:10,47,27.424,11.00,2.493
1999-10-02,14:03:58,181,25.603,
1999-10-02,14:05:58,15,18.986,11.00,1.726
1999-10-02,14:22:23,181,25.533,
1999-10-02,14:22:44,15,19.301,12.00,1.608
1999-10-02,14:23:50,9,22.910,12.00,1.909
1999-10-02,14:34:35,18,20.567,
1999-10-02,14:36:12,15,19.343,
1999-10-02,14:37:04,124,25.321,
1999-10-02,14:37:56,47,30.495,
1999-10-02,14:41:04,150,24.230,13.00,1.864
1999-10-02,14:42:25,124,23.491,
1999-10-02,14:42:51,15,20.077,19.00,1.057
1999-10-02,14:44:16,18,15.999,12.00,1.333
1999-10-02,14:45:06,47,27.546,
1999-10-02,14:47:07,150,24.878,15.00,1.659
1999-10-02,14:48:41,124,25.674,10.00,2.567
1999-10-02,14:50:09,47,29.059,
1999-10-02,14:53:37,18,20.453,13.00,1.573
1999-10-02,14:53:55,150,25.816,18.00,1.434
1999-10-02,14:54:48,2,24.196,13.00,1.861
1999-10-02,14:55:14,47,29.523,20.00,1.476
1999-10-02,14:56:33,9,24.814,18.00,1.379
1999-10-02,14:57:36,15,20.846,18.00,1.158
1999-10-02,15:01:17,124,25.855,20.00,1.293
1999-10-02,15:01:57,9,11.045,
1999-10-02,15:02:20,47,29.807,17.00,1.753
1999-10-02,15:03:04,2,17.464,
1999-10-02,15:03:31,181,23.285,17.000,1.370
