Place,HelmName,Fleet,Status
1,Antony Baker,Men's Sailboard,Pro Fleet
2,Kevin Greenslade,Men's Sailboard,Gold Fleet
3,Martyn Ogier,Men's Sailboard,Pro Fleet
4,Adrian Wallis,Men's Sailboard,Gold Fleet
5,Nigel Spriggs,Men's Sailboard,Gold Fleet
6,Dave Strudwick,Men's Sailboard,Gold Fleet
7,Michael George,Men's Sailboard,Gold Fleet
8,Allan Cross,Men's Sailboard,Gold Fleet
9,Daniel Skudder,Men's Sailboard,Gold Fleet
10,Tony Attfield,Men's Sailboard,Amateur
11,Jamie Walker,Men's Sailboard,Gold Fleet
12,Gordon Roach,Men's Sailboard,Amateur
13,Stephen Chatten,Men's Sailboard,Gold Fleet
14,Nic Dodd,Men's Sailboard,Gold Fleet
15,Mark Collins,Men's Sailboard,Amateur
16,Martin Allman,Men's Sailboard,Amateur
17,Neil Greentree,Men's Sailboard,Amateur
18,Gavin Nicholson,Men's Sailboard,Gold Fleet
