Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,32.54,32.48,32.51
2,Simon Pettifer,Men's Sailboard,Pro Fleet,33.40,31.57,32.49
3,Garry Connell,Men's Sailboard,Pro Fleet,29.61,29.53,29.57
4,Michael George,Men's Sailboard,Pro Fleet,29.34,28.83,29.08
5,Dave Strudwick,Men's Sailboard,Gold Fleet,28.07,27.95,28.01
6,Sam Latham,Men's Sailboard,Gold Fleet,28.58,26.93,27.76
7,John Oliver,Men's Sailboard,Gold Fleet,27.44,26.82,27.13
8,Richard Crosby,Men's Sailboard,Gold Fleet,26.87,26.64,26.75
9,Scott Harrison,Men's Sailboard,Gold Fleet,26.64,26.53,26.59
10,Russell Thompson,Men's Sailboard,Amateur,26.41,26.40,26.40
11,Andy Stuart-William,Men's Sailboard,Gold Fleet,26.54,25.87,26.20
12,Trevor Whatford,Men's Sailboard,Gold Fleet,23.32,22.71,23.01
13,Tim Bate,Men's Sailboard,Amateur,22.41,20.35,21.38
14,Eddie Marsh,Men's Sailboard,Gold Fleet,16.58,16.46,16.52
